anid,remote,a0w1,a1w2,a2w3,a3w4,a4w5,a5w6,a6w7,a7w8,a8w10
212,#9DB0A18C,1,0.8,0.880952381,0.954545455,0.975,0.825,0.84,0.85,0.925
213,#21FCF62B,1,0.95,1,0.818181818,1,0.9,0.78,0.95,1
210,#99277CC2,1,0.9,0.928571429,1,0.8,1,0.99,0.75,0.975
211,#82685AB0,1,0.95,1,0.954545455,0.7,0.95,0.975,0.85,0.975
218,#9D4C4D9C,1,1,0.952380952,1,0.975,0.65,0.69,0.65,0.875
219,#9A555E91,1,0.95,1,0.954545455,1,1,0.99,0.95,0.975
289,#8DEFDEBC,1,1,0.8,1,0.85,0.675,0.775,0.8,0.965
288,#9A2A07B7,1,0.95,0.880952381,1,0.75,0.875,1,0.9,0.975
4,#9D9F2220,1,1,1,1,1,1,0.975,0.975,0.99
281,#98305AF2,1,1,0.966666667,1,0.9,0.725,0.89,0.925,0.865
280,#9E02FE62,1,1,0.952380952,1,0.85,0.975,0.965,0.925,1
283,#8A5978AB,1,0.95,1,0.909090909,0.975,0.9,1,1,0.99
282,#89C488C5,1,0.8,0.761904762,0.954545455,0.95,0.85,1,0.95,0.975
285,#9DB80025,1,0.95,0.928571429,1,0.65,0.9,0.9,0.95,0.94
284,#9DDAF5B2,1,0.95,0.719047619,0.954545455,0.85,0.9,1,0.875,0.84
287,#970268FD,1,0.9,1,0.954545455,0.85,0.875,0.915,0.775,1
286,#8E4A77B3,1,0.8,0.904761905,0.954545455,1,1,0.9,0.85,0.99
263,#98303F97,1,0.95,0.80952381,0.954545455,0.8,0.875,0.975,0.925,1
262,#9D91B6BA,1,0.9,0.895238095,0.681818182,0.9,0.9,0.94,0.9,0.825
261,#8F46468F,1,0.9,0.952380952,0.909090909,0.975,1,0.975,0.875,0.95
260,#9DB7240E,1,0.65,0.928571429,0.909090909,0.875,0.95,0.975,0.95,0.975
267,#8A2D50F7,1,1,0.928571429,1,0.9,0.825,0.775,0.8,0.965
266,"['#9740F126', '#9D9DF2F2']",1,0.95,0.904761905,1,0.975,1,1,0.85,0.765
265,#9D6BD721,1,1,0.833333333,0.954545455,0.825,0.85,1,0.875,0.935
264,#9DE4E29B,1,0.95,0.952380952,0.863636364,0.975,0.9,0.9,0.775,0.865
269,#8A26C468,1,0.95,0.928571429,1,0.8,0.65,0.975,0.85,0.95
268,#82A0FEDC,1,1,0.952380952,0.727272727,0.9,0.6,0.915,0.725,0.99
59,#9D6742B8,1,1,0.976190476,0.954545455,0.85,1,1,0.975,1
58,#8954B36E,1,1,0.976190476,0.954545455,0.9,0.9,1,0.925,0.94
55,#983CC86C,1,1,0.885714286,0.954545455,0.975,0.975,1,0.75,0.965
54,#9B71B359,1,1,0.952380952,0.909090909,0.95,0.7,1,0.975,0.94
57,#9742E732,1,0.9,0.928571429,0.909090909,0.975,0.75,0.95,1,0.965
56,#9D726A85,1,1,1,0.818181818,0.825,0.8,1,0.975,0.79
51,#9D4F72A0,1,1,0.857142857,0.954545455,0.925,1,0.95,0.85,0.965
50,#96A37045,1,0.95,1,0.863636364,0.975,0.9,1,0.975,1
53,#8A061498,1,0.95,0.966666667,1,1,0.8,1,0.9,0.99
52,#097A81F2,1,0.95,0.976190476,0.954545455,0.855,1,0.975,0.9,0.915
63,#821FFC61,1,1,0.904761905,1,0.975,1,1,0.95,0.99
115,#9A6D4CBB,1,0.8,0.880952381,0.909090909,0.975,1,0.975,0.875,0.95
114,#82F23545,1,0.95,0.928571429,1,0.975,0.775,1,0.825,0.99
