anid,remote,a1,a2,a3,a4,a5,a6
132,#8E7552A9,0.96,1,0.96,1,0.66,0.8
87,#9A326BC3,0.9,1,1,0.975,1,0.95
315,#8F8A8D88,0.94,1,0.9,0.95,0.75,
201,#96AF96AF,1,1,0.88,0.675,0.8,0.85
294,#8E1662FA,0.94,1,0.98,0.85,0.7,0.9
149,#8590FEEB,0.78,1,0.7,0.725,0.66,0.55
115,#82F5B8CF,0.88,1,0.9,0.875,0.94,0.9
327,#840C4BC3,0.68,0.46,,,,
260,#8AD7613C,0.92,0.96,0.74,1,0.68,0.8
136,#8E9EE9F9,1,0.9,0.94,0.975,0.94,0.95
143,#9A9E4E4A,0.84,0.88,0.86,0.9,0.98,0.75
212,#9551B773,0.9,1,0.86,0.95,0.78,0.9
18,#8338CA71,0.9,1,0.8,1,0.92,0.95
239,#89D85B0A,0.92,1,0.82,0.68,0.8,
195,#9A82ABB3,0.62,0.96,0.56,0.85,0.68,0.8
313,#907FD33C,0.9,1,0.86,0.825,1,1
307,#8E7215E9,0.8,0.96,0.54,0.7,0.96,0.95
125,#84C11752,0.72,0.96,0.92,0.925,0.84,0.95
135,"['#0E49A0E7', '#E49A0E7']",0.44,1,0.88,0.725,1,0.95
140,#9634389A,0.96,1,0.9,0.725,0.9,0.75
171,#877D24DE,0.94,0.92,0.8,0.975,0.88,0.75
187,#888C2D29,0.68,1,0.88,0.825,0.76,0.75
43,"['#05FCDA23', '#5FCDA23']",0.88,0.96,1,1,0.86,1
250,#8E9B4752,0.88,0.98,0.76,0.62,0.7,
301,#83476FAB,0.9,0.86,0.98,0.925,1,0.95
295,#824ED61A,0.8,0.96,,,,
75,#830B850D,0.84,0.96,0.88,0.875,0.88,0.85
206,#8E8AA2A6,0.76,1,1,0.95,1,0.95
177,#983153FA,0.84,0.78,0.84,0.775,0.8,0.45
64,"['#06089799', '#6089799']",0.96,1,0.96,0.9,0.8,0.85
189,#92ED8EF1,0.96,0.9,0.62,0.975,0.96,0.75
147,#83E36303,0.96,0.9,0.72,0.85,0.75,
23,#8EB8DCEA,0.98,1,1,1,1,0.85
47,#912640F7,1,1,0.92,0.95,0.9,0.95
93,#96E190E7,0.94,0.82,0.94,0.675,0.82,0.65
248,#82B6ECD8,0.88,0.96,0.78,0.975,0.52,0.85
0,#8E1CEB79,0.98,1,0.88,0.95,0.96,0.85
244,#8D7FB042,0.96,0.92,1,0.95,1,0.9
97,#90B19BBA,0.98,1,0.9,0.875,0.74,0.85
321,#96FCD7BD,1,0.86,0.95,0.88,,
5,#855EE932,0.96,1,1,1,0.98,0.85
102,#9F27843C,0.86,1,0.96,0.975,0.7,0.8
278,#84252E8F,0.86,0.8,0.94,0.925,0.96,0.9
